Iteration	Ident	Success
53	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
54	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
55	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
56	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
57	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
58	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
59	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
60	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
61	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
62	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
63	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
64	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
65	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
66	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
67	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
68	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
69	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
70	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
71	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
72	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
73	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	False
74	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	False
75	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
75	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
76	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
77	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
78	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
79	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
80	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
81	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
82	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
83	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
84	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
85	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
86	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
87	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
88	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
89	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
90	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	False
91	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
92	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
93	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
94	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
95	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
96	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
97	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
98	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
99	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
100	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
101	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
102	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
103	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
103	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
104	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
105	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
106	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
107	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
108	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
109	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
110	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
111	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
112	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
113	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
114	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
115	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
116	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
117	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
118	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
119	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
120	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
121	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
122	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
123	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
124	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
125	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
126	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
127	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
127	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
128	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
129	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
130	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
131	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
132	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
133	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
134	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
135	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
136	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
137	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
138	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
139	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
140	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
141	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
142	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
143	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
144	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
145	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
146	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
147	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
148	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
149	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
150	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
151	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
152	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
153	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
153	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
154	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
155	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
156	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
157	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
158	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
159	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
160	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
161	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
162	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
163	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
164	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
165	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
166	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
167	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
168	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
169	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
170	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
171	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
172	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
173	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
174	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
175	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
176	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	False
177	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
178	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
179	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
180	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
181	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
182	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
183	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
184	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
185	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
186	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
187	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
188	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
189	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
190	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
191	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
192	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
193	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
194	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
195	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
196	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
197	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
198	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
199	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
200	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
201	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
202	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
203	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
204	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
206	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
208	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
208	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
209	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
210	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
211	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
212	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
213	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
214	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
215	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
216	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
217	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
218	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
219	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
220	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
221	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
222	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
223	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
224	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
225	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
226	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	False
228	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
229	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
230	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
231	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
232	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
233	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
234	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
235	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
236	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
237	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
238	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
239	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
240	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
241	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
242	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
243	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
244	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
245	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
246	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
247	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
248	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
249	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
250	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
251	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
252	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
253	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
254	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
255	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
256	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
257	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
258	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
259	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
260	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
261	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
262	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
264	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
265	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
266	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
267	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
268	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
269	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
270	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
271	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
273	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
274	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
275	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
276	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
277	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
278	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
279	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
280	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
281	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
282	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
283	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
286	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
287	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
288	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
289	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
290	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
291	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
292	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
293	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
294	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
295	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
296	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
297	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
298	effectance_pnode	False
299	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
300	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
301	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
302	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
303	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
304	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
305	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
306	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
307	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
308	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
309	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
310	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
311	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
312	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
313	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
315	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	False
316	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
317	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
318	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
319	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
320	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
321	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
322	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
323	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
324	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
325	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
326	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
327	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
328	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
329	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
330	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
331	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
332	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	False
334	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
335	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
336	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
337	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
338	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
339	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
340	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
341	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
342	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
343	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
344	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
345	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
346	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
347	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
348	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
349	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
350	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
351	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
352	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
353	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__press_button	True
354	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
355	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
356	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
357	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
358	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
359	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
360	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
361	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
362	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
363	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
364	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
365	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
366	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__grasp_right	True
367	pnode_GRIPPER_AND_LOW_FRICTION__goal_1__place_object_right	True
368	pnode_GRIPPER_AND_LOW_FRICTION__goal_0__press_button	True
